NO,避難所名,所在地2,収容人数,学区名,備考,緯度,経度
1,小野児童館・小野児童クラブ,水明一丁目37-1,155,小野,福祉避難所,35.1469392,135.920783
2,滋賀県立北大津養護学校体育館,伊香立向在地町25,319,伊香立,福祉避難所,35.13469,135.88918
3,堅田保育園,本堅田四丁目26-1,213,堅田,福祉避難所,35.1176011,135.918678
4,天神山保育園,本堅田六丁目3-1,152,堅田,福祉避難所,35.1153568,135.907329
5,仰木の里児童クラブ,仰木の里四丁目4-1,28,仰木の里,福祉避難所,35.1072951,135.892184
6,雄琴児童クラブ,雄琴二丁目16-1,21,雄琴,福祉避難所,35.091913,135.893641
7,唐崎児童クラブ,際川三丁目38-2,64,唐崎,福祉避難所,35.0439702,135.865767
8,志賀児童クラブ,錦織二丁目9-29,60,滋賀,福祉避難所,35.0305917,135.855239
9,皇子が丘保育園,皇子が丘一丁目20-20,158,滋賀,福祉避難所,35.0266163,135.852482
10,第2松の実保育園,高砂町15-9,86,滋賀,福祉避難所,35.022699,135.512612
11,やまのこひろば（比叡平幼稚園・ひえい平保育園）,比叡平一丁目45-3,41,山中比叡平,福祉避難所,35.0326285,135.834191
12,山中比叡平児童クラブ,比叡平一丁目45-4,17,山中比叡平,福祉避難所,35.0322649,135.835691
13,逢坂保育園,音羽台6-20,128,逢坂,福祉避難所,35.0016248,135.86596
14,朝日が丘保育園,朝日が丘一丁目23-33,223,逢坂,福祉避難所,35.0016222,135.870393
15,旧大津公会堂,浜大津一丁目4-1,125,中央,福祉避難所,35.0104365,135.865356
16,中老人福祉センター,打出浜1-5,322,平野,福祉避難所,35.00709,135.874652
17,におの浜ふれあいスポーツセンター,におの浜四丁目2-40,351,平野,福祉避難所,35.0054491,135.885883
18,障害者福祉センター,におの浜四丁目2-33,260,平野,福祉避難所,35.004985,135.885705
19,やまびこ総合支援センター,馬場二丁目13-50,172,平野,福祉避難所,35.0001836,135.878377
20,膳所保育園,昭和町17-32,163,膳所,福祉避難所,34.9987953,135.888503
21,晴嵐保育園,光が丘町5-10,175,晴嵐,福祉避難所,34.9714818,135.89761
22,大平保育園,大平二丁目33-22,193,石山,福祉避難所,34.9501903,135.894375
23,南老人福祉センター,南郷一丁目14-30,117,南郷,福祉避難所,34.9416779,135.908395
24,水のめぐみ館,黒津四丁目2-2,190,田上,福祉避難所,34.940468,135.911699
25,田上児童クラブ,関津六丁目19-1,33,田上,福祉避難所,34.9338998,135.929386
26,青山児童クラブ,青山三丁目16-3,36,青山,福祉避難所,34.9791406,135.97406
27,瀬田児童クラブ,大江四丁目2-60,60,瀬田,福祉避難所,34.9820081,135.920457
28,東老人福祉センター,玉野浦6-33,157,瀬田,福祉避難所,34.9808856,135.908148
29,瀬田北児童クラブ,大将軍一丁目14-2,55,瀬田北,福祉避難所,34.9915423,135.92418
30,瀬田南児童クラブ,三大寺1-11,67,瀬田南,福祉避難所,34.9741205,135.914508
31,瀬田東児童クラブ,一里山三丁目4-1,46,瀬田東,福祉避難所,34.9846083,135.936009
